model,accuracy,precision,recall,f1_score
logreg,0.9870824053452116,0.9849729983564217,0.987756063103367,0.9863625675993416
nb,0.9308463251670379,0.9335246293639407,0.9192371085472097,0.9263257800450825
svm,0.994988864142539,0.9950518378887842,0.9943489522015541,0.9947002708750442
